COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Iceland,ISL,EURO,REPORTING,16-04-2023,869976,307269,238.9,81.685,297921,79.182,30-12-2020,5,254556,67.656
Jersey,JEY,EURO,OWID,29-01-2023,266953,84365,247.646,78.264,81882,75.96,,3,73662,68.335
Lebanon,LBN,EMRO,REPORTING,22-12-2022,5814699,2740227,85.192,40.147,2414223,35.371,14-02-2021,10,660249,9.673
Malaysia,MYS,WPRO,REPORTING,30-07-2023,72572314,28113222,224.224,86.86,27527252,85.05,24-02-2021,8,16325505,50.44
Marshall Islands,MHL,WPRO,REPORTING,24-03-2023,110742,47077,187.083,79.53,40689,68.738,29-12-2020,3,18559,31.353
Myanmar,MMR,SEARO,REPORTING,02-05-2023,89454913,40354937,164.41,74.169,35196377,64.688,27-01-2021,2,13903599,25.553
Oman,OMN,EMRO,REPORTING,25-10-2022,7086050,3257365,138.762,63.787,3048826,59.703,29-12-2020,11,779859,15.272
Pakistan,PAK,EMRO,REPORTING,15-08-2023,339932271,165567890,153.89,74.954,140475871,63.595,03-02-2021,11,52110502,23.591
Republic of Moldova,MDA,EURO,REPORTING,11-06-2023,2288948,1108879,,36.22,1078505,35.228,03-03-2021,7,402985,13.163
Saint Kitts and Nevis,KNA,AMRO,REPORTING,02-06-2023,64297,33794,120.877,63.532,27000,50.76,22-02-2021,3,3465,6.514
Slovenia,SVN,EURO,REPORTING,04-06-2023,3006861,1222336,143.5,58.008,1192059,56.571,23-12-2020,8,649891,30.842
Somalia,SOM,EMRO,REPORTING,25-07-2023,10555834,8972167,66.417,56.453,7666835,48.24,16-03-2021,11,28134,0.177
Togo,TGO,AFRO,REPORTING,23-07-2023,3407277,2248264,41.157,27.157,1554066,18.772,10-03-2021,1,427804,5.168
Tokelau,TKL,WPRO,REPORTING,05-12-2022,6342,2203,469.778,163.185,2203,163.185,20-07-2021,1,968,71.704
Tunisia,TUN,EMRO,REPORTING,20-06-2023,13253317,7218871,112.139,61.08,6401841,54.167,13-03-2021,10,1258577,10.649
Vanuatu,VUT,WPRO,REPORTING,20-02-2023,355430,176624,115.721,57.505,162250,52.825,02-06-2021,3,16556,5.39
Zambia,ZMB,AFRO,REPORTING,25-06-2023,13615707,11711565,74.063,63.705,9155551,49.802,14-04-2021,3,1414619,7.695
Zimbabwe,ZWE,AFRO,REPORTING,09-07-2023,13935112,7398402,93.758,49.778,5565275,37.444,18-02-2021,4,2216293,14.912
Antigua and Barbuda,ATG,AMRO,REPORTING,02-06-2023,136512,64290,139.399,65.65,62384,63.703,01-03-2021,6,9838,10.046
Bonaire,XAA,AMRO,REPORTING,02-06-2023,43070,17460,205.929,83.481,16189,77.404,,,8125,38.848
Colombia,COL,AMRO,REPORTING,02-06-2023,90506612,43012174,177.872,84.532,37019801,72.755,17-02-2021,5,14792792,29.072
Comoros,COM,AFRO,REPORTING,02-10-2022,835021,438825,96.023,50.463,397080,45.662,10-04-2021,3,,
Cyprus,CYP,EURO,REPORTING,11-06-2023,1858908,669218,209.3,73.978,656129,72.524,23-12-2020,5,487380,53.872
Democratic Republic of the Congo,COD,AFRO,REPORTING,04-06-2023,18808671,17045721,21.001,19.032,14399520,16.078,19-04-2021,1,,
Equatorial Guinea,GNQ,AFRO,REPORTING,24-07-2022,488738,270109,34.836,19.252,214032,15.255,12-02-2021,2,4597,0.328
Eritrea,ERI,AFRO,REPORTING,03-07-2022,,0,,0,0,0,,,,
Ghana,GHA,AFRO,REPORTING,02-07-2023,25624828,13864186,82.467,44.618,10780003,34.693,02-03-2021,2,4806017,15.467
Iraq,IRQ,EMRO,REPORTING,02-01-2023,19557364,11332925,48.623,28.176,7944775,19.752,02-03-2021,10,275280,0.684
Isle of Man,IMN,EURO,OWID,23-06-2022,189994,69560,223.438,81.804,67106,78.919,,3,53328,62.715
Jamaica,JAM,AMRO,REPORTING,02-06-2023,1525895,858035,51.53,28.976,758800,25.625,10-03-2021,6,45995,1.553
Liechtenstein,LIE,OTHER,REPORTING,10-04-2022,71104,26681,183.5,68.86,26346,67.995,06-01-2021,3,18310,47.255
Mali,MLI,AFRO,REPORTING,14-05-2023,5922585,4354292,29.246,21.502,3633589,17.943,31-03-2021,1,,
Martinique,MTQ,AMRO,REPORTING,02-06-2023,401816,150795,107.075,40.184,145536,38.782,,2,92919,24.761
Mexico,MEX,AMRO,REPORTING,02-06-2023,222226293,96727823,172.358,75.022,81346379,63.092,24-12-2020,8,57014052,44.22
Monaco,MCO,EURO,REPORTING,04-12-2022,71027,25319,181,69.015,24933,67.963,30-06-2021,7,17806,48.536
Montenegro,MNE,EURO,REPORTING,04-12-2022,523735,272152,83.4,43.346,251583,40.07,24-02-2021,5,0,0
Morocco,MAR,EMRO,REPORTING,14-05-2023,55389602,25020168,150.064,67.786,23521989,63.727,28-01-2021,10,6884356,18.651
Mozambique,MOZ,AFRO,REPORTING,02-07-2023,34950858,22869646,111.823,73.17,21329745,68.243,08-03-2021,3,2323562,7.434
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,30-05-2023,123536,46824,214.632,81.352,45953,79.839,19-12-2020,3,26121,45.383
Norway,NOR,EURO,REPORTING,11-06-2023,12336663,4347197,229.8,80.129,4062204,74.876,23-12-2020,4,3020810,55.68
Panama,PAN,AMRO,REPORTING,02-06-2023,8901881,3533579,206.312,81.895,3174229,73.567,20-01-2021,2,1769698,41.015
Peru,PER,AMRO,REPORTING,02-06-2023,89593907,30487563,271.728,92.465,28654963,86.907,09-02-2021,4,22143074,67.158
Poland,POL,EURO,REPORTING,11-06-2023,58223243,22983299,153.4,61.038,22704578,60.298,23-12-2020,5,12532074,33.282
Puerto Rico,PRI,AMRO,REPORTING,02-06-2023,7846764,2905470,274.281,101.56,2688410,93.972,,4,1808780,63.225
Sao Tome and Principe,STP,AFRO,REPORTING,04-06-2023,263275,140256,120.13,63.997,111986,51.098,15-03-2021,2,34624,15.799
Suriname,SUR,AMRO,REPORTING,02-06-2023,554588,267820,94.538,45.654,237879,40.55,23-02-2021,5,48889,8.334
New Caledonia,NCL,WPRO,REPORTING,03-04-2023,480497,192371,168.301,67.381,184801,64.729,20-01-2021,2,103325,36.191
