COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
New Zealand,NZL,WPRO,REPORTING,21-04-2023,12252378,4241210,254.081,87.951,4084115,84.693,19-02-2021,4,2719283,56.391
Nicaragua,NIC,AMRO,REPORTING,02-06-2023,15498213,6404524,233.951,96.679,6117158,92.341,03-03-2021,11,2892531,43.664
Palau,PLW,WPRO,REPORTING,10-03-2023,51032,18573,282.069,102.659,18278,101.028,03-01-2021,3,12885,71.219
Paraguay,PRY,AMRO,REPORTING,02-06-2023,9784169,3995915,137.177,56.024,3547736,49.74,22-02-2021,8,1660692,23.283
Philippines,PHL,WPRO,REPORTING,19-03-2023,189317158,82684774,172.764,75.455,78443972,71.585,01-03-2021,11,23811248,21.729
Pitcairn Islands,PCN,WPRO,REPORTING,29-08-2022,117,47,234,94,47,94,17-05-2021,1,23,46
Republic of Korea,KOR,WPRO,REPORTING,07-08-2023,137030418,44720741,267.276,87.227,44310473,86.427,26-02-2021,5,33644119,65.622
Russian Federation,RUS,EURO,OWID,05-07-2023,186692479,88811982,127.9,61.206,79702396,54.928,,2,,
Samoa,WSM,WPRO,REPORTING,24-02-2023,453130,191403,228.376,96.466,177954,89.688,18-04-2021,2,82268,41.463
Sierra Leone,SLE,AFRO,REPORTING,25-06-2023,9137310,5668867,114.546,71.065,4952182,62.081,15-03-2021,2,1196145,14.995
Singapore,SGP,WPRO,REPORTING,25-07-2023,15304199,5287005,261.595,90.371,5250426,89.746,30-12-2020,4,4766768,81.478
Sint Eustatius,XBA,AMRO,REPORTING,02-06-2023,4319,1791,137.592,57.056,1686,53.711,,,767,24.435
Spain,ESP,EURO,REPORTING,11-06-2023,112837406,41328627,238.4,87.131,37483217,79.024,30-12-2020,4,26563654,56.003
Switzerland,CHE,EURO,REPORTING,11-06-2023,16755470,6096586,193.6,70.145,5723015,65.847,23-12-2020,6,4996200,57.484
Syrian Arab Republic,SYR,EMRO,REPORTING,18-04-2023,5090630,3295630,29.088,18.831,2358365,13.476,01-04-2021,11,75881,0.434
Timor-Leste,TLS,SEARO,REPORTING,26-06-2023,2019384,884194,153.164,67.063,799627,60.649,07-04-2021,4,335563,25.451
Viet Nam,VNM,WPRO,REPORTING,30-06-2023,266492149,90272853,273.779,92.741,85961564,88.312,08-03-2021,6,57975220,59.56
